,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,tas0,tas1,tas2,tas3,tas4,tas5,tas6,tas7,tas8,tas9,tas10,tas11
0,Lake of the Woods,Minnesota,27,077,27077,263.5984469327258,268.54216413067263,273.7896738307146,283.0510315399935,290.5878866203158,297.9028736598431,302.22981715709096,300.5494769818935,293.4999545362006,283.7087300557165,274.93256109766224,265.80859677311605
1,Ferry,Washington,53,019,53019,271.64481372854823,275.49211954872055,276.8020366875177,279.7092743066295,286.5118621425082,293.61401623141614,298.8683541334044,296.9159187837344,289.60887594786215,281.4768098849856,276.5824473545602,272.0978870725247
2,Stevens,Washington,53,065,53065,273.54055464970565,277.24239981974057,278.7222894368735,281.574050898674,287.9788219314158,295.09058912058754,301.2074008063546,299.69128413962227,292.7130619785926,283.6237365478514,278.3695460276271,274.0047643186942
3,Okanogan,Washington,53,047,53047,271.75969667884925,275.5311783759155,276.6607806147477,279.3389124790594,285.83805716895813,292.7262937863562,297.8473948161584,296.0159205602329,289.1566216313081,281.39146965859607,276.599612859598,272.2009602812334
4,Pend Oreille,Washington,53,051,53051,272.7895734205351,276.5404529093473,278.0088070649797,280.98984617937913,287.6111052758474,294.71108018164756,300.50495267647057,298.7971289934088,291.6295420489821,282.812077841914,277.65749571088725,273.21632660014603
5,Boundary,Idaho,16,021,16021,270.66173072169585,274.60794050688804,276.1120228164845,279.51191021669575,286.6769791387178,293.84590320049233,299.24964493605506,297.1628386255271,289.7720598958035,281.0995685580573,275.8479682416491,270.9525826741196
6,Lincoln,Montana,30,053,30053,270.35682088734285,274.3026021535016,275.810303519275,279.2502048456026,286.41741667005687,293.58631011249605,299.02488743872186,296.93998154556965,289.5708881197933,280.8967220967573,275.6100410133142,270.6345920658043
7,Flathead,Montana,30,029,30029,268.948146041155,272.8051121658911,274.2745362355455,277.952088100655,285.10251078956986,292.2246358537322,298.04335916907394,296.10746063087504,288.9102535642036,280.12488138240417,274.6242981180197,269.11387769120444
8,Glacier,Montana,30,035,30035,268.2193271710554,272.31748441875993,274.0433709619781,278.70655710889116,286.4192160953712,294.08919981333094,300.65377709906045,298.8851369215334,291.0797127002722,281.156387180598,274.96751709112516,268.4636528764548
9,Toole,Montana,30,101,30101,268.3735015957476,272.4740610667531,274.23920208602044,279.0164746936922,286.78604785240907,294.5125464708824,301.1503156366938,299.38802699874475,291.5426404461891,281.4788915938382,275.1908081983897,268.6369150141168
10,Liberty,Montana,30,051,30051,269.0180358886719,273.1004638671875,274.9972839355469,280.1591491699219,288.1033020019531,295.9862976074219,302.80181884765625,301.02093505859375,293.0787658691406,282.61322021484375,276.0187072753906,269.3446044921875
11,Hill,Montana,30,041,30041,269.6793585272489,273.86832430486345,276.04286524469677,281.84165811152104,289.9041730051073,297.76492347034934,304.61206565487913,302.8562337754141,294.76667933474124,284.0597515145487,277.06646830969026,270.2006691503058
12,Sheridan,Montana,30,091,30091,267.2418994223639,271.9095071045992,275.2908711980943,282.77730758438486,290.9581427628079,299.1854560523124,305.40880810520446,303.58639171615727,295.61403140107745,284.59065199375544,276.34571092423687,268.3336629762384
13,Divide,North Dakota,38,023,38023,266.87311388349167,271.59357649943763,275.2330553248489,282.97368268625695,291.14765080783025,299.468880893957,305.5331893769624,303.6956364489649,295.7993154380128,284.7613635939348,276.3412820874676,268.11647533261373
14,Burke,North Dakota,38,013,38013,266.61004638671875,271.32928466796875,275.15985107421875,283.09814453125,291.2537841796875,299.6546325683594,305.6080017089844,303.7412109375,295.94091796875,284.8817138671875,276.3311767578125,267.951171875
15,Renville,North Dakota,38,075,38075,266.028503880747,270.8707408968235,275.08565620609124,283.32799214301775,291.4179399563643,300.11246775341823,305.99843264257686,304.1564423841156,296.3353642234986,285.07740172470795,276.2488036252714,267.552237908371
16,Bottineau,North Dakota,38,009,38009,265.95438718685415,270.79640114982953,275.0703120149556,283.37235058222797,291.446083450775,300.15984918341167,306.0159124295796,304.1747945071154,296.3627522312477,285.1090432490014,276.23664039751765,267.50232018555874
17,Rolette,North Dakota,38,079,38079,265.6592102050781,270.4776306152344,275.00079345703125,283.5705261230469,291.5684814453125,300.3328857421875,306.0394287109375,304.1985168457031,296.43914794921875,285.24462890625,276.1858215332031,267.3048400878906
18,Towner,North Dakota,38,095,38095,265.5836175985902,270.41690100574044,275.1229340741622,283.83502216888405,291.8299537868902,300.5541697891234,306.1474161208067,304.3370252140604,296.6139407686903,285.48988965034243,276.308444807352,267.3316985313602
19,Cavalier,North Dakota,38,019,38019,265.2136252504231,270.11430182491534,275.2353175116027,284.309356136099,292.28541339739627,300.89415883338455,306.2442886574067,304.52576128262797,296.8638507851946,285.87727375540453,276.4113365086284,267.2269226303599
20,Pembina,North Dakota,38,067,38067,265.0091552734375,269.9461669921875,275.2150573730469,284.43231201171875,292.3972473144531,300.9559631347656,306.2245788574219,304.54705810546875,296.8992004394531,285.9533996582031,276.3838195800781,267.1289367675781
21,Kittson,Minnesota,27,069,27069,264.6611784533173,269.62825188984175,274.8890405311591,284.10196002849705,291.9232386969305,300.2778759622522,305.40202487665334,303.7166298024085,296.2082784058757,285.49630519867185,276.0646394692776,266.8332801286058
22,Roseau,Minnesota,27,135,27135,264.2554099751697,269.25202214411854,274.4952886714106,283.69827101713673,291.34486804379833,299.4211323450302,304.34060094487137,302.6448746207835,295.3229176407362,284.9191959260304,275.6759373407351,266.47776233010785
23,Blaine,Montana,30,005,30005,269.14671829458786,273.4174877186364,275.9051509572961,282.0956035964667,290.2056201119626,298.107123975787,304.93651828502294,303.14399554517445,295.03436140898765,284.1912648588891,276.90335952147024,269.8188634146886
24,Phillips,Montana,30,071,30071,268.79897855426566,273.1349915704984,275.7853995297634,282.2386234415806,290.4095236721632,298.3659893660597,305.1741977984012,303.3758217427458,295.2917067629391,284.2982312606865,276.78046398400323,269.53574741892
25,Valley,Montana,30,105,30105,268.2883148327199,272.730174544779,275.61336204973327,282.4735445084967,290.7120091193268,298.75008683335716,305.4363811201567,303.62212277646665,295.5726512666009,284.44098972094946,276.60361974676835,269.1027947896471
26,Daniels,Montana,30,019,30019,267.68645582410255,272.2445174623521,275.3724490526044,282.59647400248707,290.80403461396816,298.9387438747243,305.3603830913153,303.5246067047185,295.511576593599,284.45522002687557,276.39312997521984,268.61630129374635
27,Whatcom,Washington,53,073,53073,277.15513447402856,280.32845806545464,281.16380355026183,282.9684650956042,287.9921739484757,293.34115388487425,297.41023817682446,296.4552547169962,291.7039347496164,285.28206986705027,281.07183729598967,277.54413366283643
28,Bonner,Idaho,16,017,16017,272.3496975493272,276.14454550214975,277.6215961204174,280.6907464194839,287.4237796844343,294.53248007540634,300.31694193545894,298.5462624631756,291.39407246172385,282.53723552601,277.31145117555445,272.723959736695
29,Ward,North Dakota,38,101,38101,266.27662896002994,271.07084929471654,275.23420502268135,283.4134932973511,291.468793165818,300.07844972941484,305.98580303368135,304.1686888846498,296.42191824123444,285.20032352003653,276.40210703943086,267.7404055714554
30,Koochiching,Minnesota,27,071,27071,264.2591678679448,269.07910708779536,274.27567746773514,283.4550180962491,290.73554357263777,297.8509419618107,302.23792644705304,300.8417585987759,293.99944181198697,284.1357388009339,275.1845143326344,266.24853224233266
31,Skagit,Washington,53,057,53057,277.1549108547493,280.32825814306767,281.1636025645644,282.96828279066864,287.99204167739344,293.341050144741,297.41015427180037,296.45514249222856,291.7037647965608,285.2818792304221,281.0716391688494,277.5439108082667
32,Williams,North Dakota,38,105,38105,266.8667369180174,271.58547230535777,275.235236077945,282.9862539818119,291.15655929526287,299.48181889352594,305.54413307765617,303.7064310696501,295.8186391286367,284.7763326951654,276.347112901567,268.1132541483529
33,McHenry,North Dakota,38,049,38049,266.0763552947896,270.88974902848577,275.15261791088614,283.43719871749784,291.4821204121933,300.152406851794,306.01130216937594,304.18672792378743,296.4220601904379,285.19342464828765,276.32421239811714,267.5974418864225
34,St. Louis,Minnesota,27,137,27137,265.12739255602946,269.83917343543516,275.2188774885915,284.3658163559075,291.3040425663796,298.1508207137948,302.6181714842596,301.5404415990431,294.92794070761835,285.05033337098996,275.9678833604113,267.1837924599528
